"Dialog","Hotkey","Label","Icon"
"entry","F1","RADIO CHECK: OK","radio_check"
"entry","F2","DEPARTING CP","departing_command_post"
"entry","F3","ARRIVED AT SEARCH AREA","starting_assignment"
"entry","F4","PAR CHECK","welfare_check"
"entry","F5","REQUESTING NEW ASSIGNMENT","completed_assignment"
"entry","F6","REQUESTING TRANSPORT","transport"
"entry","F7","ENROUTE TO CP","return_to_base"
"entry","F8","AT CP","command_post"
"entry","F9","STANDBY","standby"
"entry","F10","LOCATED A CLUE","clue_located"
"entry","F11","SUBJECT LOCATED","subject_located"
"entry","F12","REQUESTING LAW ENFORCEMENT","law_enforcement"
"clue","F1","COLLECT","clue_collect"
"clue","F2","MARK and LEAVE","clue_mark"
"clue","F3","DISREGARD","disregard"
"clue","F4","HOLD POSITION","hold_position"
"clue","F5","PROTECT THE CLUE","clue_protect"
"clue","F6","STANDBY","standby"

