"Dialog","Hotkey","Label","Icon"
"entry","F1","DEPARTING IC","departing_command_post"
"entry","F2","STARTING ASSIGNMENT","starting_assignment"
"entry","F3","COMPLETED ASSIGNMENT","completed_assignment"
"entry","F4","ENROUTE TO IC","return_to_base"
"entry","F5","REQUESTING TRANSPORT","transport"
"entry","F6","AT IC","command_post"
"entry","F7","RADIO CHECK: OK","radio_check"
"entry","F8","WELFARE CHECK: OK","welfare_check"
"entry","F9","STANDBY","standby"
"entry","F10","LOCATED A CLUE","clue_located"
"entry","F11","SUBJECT LOCATED","subject_located"
"entry","F12","REQUESTING DEPUTY","law_enforcement"
"clue","F1","COLLECT","clue_collect"
"clue","F2","MARK and LEAVE","clue_mark"
"clue","F3","DISREGARD","disregard"
"clue","F4","HOLD POSITION","hold_position"
"clue","F5","PROTECT THE CLUE","clue_protect"
"clue","F6","STANDBY","standby"

